Game Name,Hours Played,Platforms
Fashion Police Squad,0.0,epic
Felix The Reaper,0.0,epic
Fetish Locator Week One,0.0,gog
Firestone Online Idle RPG,0.0,epic
Football Manager 2020,0.0,epic
Football Manager 2024,0.0,"epic, xboxone"
For Honor,0.0,"epic, xboxone"
Fort Solis,0.0,gog
Freedom Fighters,0.0,epic
Frostpunk,0.0,"epic, xboxone"
GRAVEN,0.0,epic
GRIP,0.0,gog
Galactic Civilizations III,0.0,"epic, xboxone"
Gamedec - Definitive Edition,0.0,gog
Garden Story,0.0,"epic, xboxone"
Gas Station Simulator,0.0,epic
Genshin Impact,61.2,epic
Ghostbusters The Video Game Remastered,0.4,epic
Ghostbusters: Spirits Unleashed,0.0,epic
Ghostrunner,0.0,epic
Ghostrunner 2,0.0,epic
Ghostwire Tokyo,0.0,"epic, xboxone"
Gigapocalypse,0.0,epic
Gloomhaven,0.0,epic
Goat of Duty,0.3,steam
Godfall,0.6,epic
Gods Will Fall,0.0,epic
Golf With Your Friends,0.0,"gog, xboxone"
Grand Theft Auto V,0.1,"epic, xboxone"
Grand Theft Auto V Enhanced,0.0,epic
Graveyard Keeper,0.0,steam
Gravity Circuit,0.0,epic
Grid 2,0.6,steam
Guild Wars 2,2.7,steam
Guilty Gear Xrd: Revelator,7.7,steam
Guilty Parade,0.0,steam
Gunslugs 2,0.0,gog
Gunslugs 3: Rogue Tactics,0.0,gog
HITMAN,0.9,"epic, steam"
HITMAN 3,0.0,"epic, steam, xboxone"
HITMAN™ 2,0.0,steam
HOT WHEELS UNLEASHED™,0.3,"epic, xboxone"
Hakuoki: Edo Blossoms,0.0,steam
Hakuoki: Kyoto Winds,0.0,steam
Half-Life,0.0,steam
Half-Life 2,2.3,steam
Half-Life 2: Deathmatch,0.0,steam
Half-Life Deathmatch: Source,0.0,steam
Halo Infinite,0.5,"steam, xboxone"
Halo: The Master Chief Collection,8.7,"steam, xboxone"
Hardspace: Shipbreaker,0.0,"epic, xboxone"
Harold Halibut,0.0,"gog, xboxone"
Havendock,0.0,epic
Hell Let Loose,0.0,"epic, xboxone"
Hell Pie,0.0,gog
Hellion,0.0,steam
Hellslave,0.0,"gog, steam"
Helping the Hotties,0.0,gog
Hero's Hour,0.0,gog
Heroes & Generals WWII,0.0,epic
Heroes of Loot,0.0,gog
Heroes of Loot 2,0.0,gog
Hexguardian,0.0,epic
Hitman: Blood Money,0.5,steam
Hive Jump 2: Survivors,0.0,gog
Hogwarts Legacy,3.4,epic
Hood Outlaws and Legends,0.0,epic
Horizon Chase Turbo,0.0,epic
House Flipper,0.0,"steam, xboxone"
House Party,0.0,gog
House of Golf 2,0.0,epic
Human Resource Machine,0.0,epic
HumanKind,0.0,"epic, xboxone"
HuniePop,0.0,gog
Hunted: The Demon's Forge,0.2,steam
Hyper Echelon,0.0,epic
Hypnospace Outlaw,0.0,"gog, xboxone"
INDUSTRIA,0.0,"epic, gog"
INSIDE,0.0,"epic, xboxone"
Idle Champions of the Forgotten Realms,0.0,epic
